order_id,product_id,seller_id,product_category_name,product_category_name_english,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,price,freight_value,payment_type,payment_value,payment_installments,review_score,order_purchase_timestamp,order_delivered_customer_date
27a7ac440630f9de788e4d66e72c6424,d696750e550fd0f733979dd7e5dff921,9de4643a8dbde634fe55621059d92273,utilidades domesticas,housewares,44.0,916.0,2.0,950.0,53.0,5.0,13.0,169.99,16.4,credit card,186.39,1,4.0,2017-04-21 21:38:07,2017-05-02 14:54:34
0d4a43cf7b7994e0a782864d075dc842,51fed4afb1b41d00ad9d25a73b7fbbc7,f262cbc1c910c83959f849465454ddd3,consoles games,consoles games,48.0,303.0,3.0,250.0,21.0,7.0,15.0,29.99,7.39,credit card,37.38,1,5.0,2018-05-01 17:52:15,2018-05-03 18:36:47
05c3b5a011d47cd6cd88d4c5d6c15b90,11dc4053871ff53ff79fb1fc7e6b160f,b1ac6ea7895bc3dd6f0f6f4abbdd2821,esporte lazer,sports leisure,29.0,347.0,1.0,1600.0,100.0,7.0,11.0,99.0,17.94,voucher,116.94,1,5.0,2017-07-03 16:21:43,2017-07-07 14:51:21
0a14f9fc5324099db2a5418351592675,70906e04da1eebf3d1b8791bd09ffe85,00fc707aaaad2d31347cf883cd2dfe10,informatica acessorios,computers accessories,51.0,518.0,1.0,214.0,18.0,14.0,13.0,70.0,15.24,credit card,85.24,1,5.0,2018-03-03 10:30:17,2018-03-13 21:38:50
11b0d2ca29a268561114f01ff9571c96,d294bd539d8c70342149beb38b767afc,7d13fca15225358621be4086e1eb0964,relogios presentes,watches gifts,50.0,295.0,1.0,650.0,13.0,11.0,12.0,489.0,209.63,credit card,698.63,1,4.0,2018-03-30 16:12:40,2018-04-20 21:35:47
112f6cd3047e7f158607233e26206398,84e1b9c6ba2ed178bd217097b41f1251,1b938a7ec6ac5061a66a3766e0e75f90,moveis cozinha area de servico jantar e jardim,kitchen dining laundry garden furniture,50.0,859.0,1.0,10893.0,33.0,88.0,44.0,74.9,44.99,boleto,119.89,1,5.0,2018-01-03 16:29:52,2018-01-12 23:18:59
1d14bb358f43b14725c70bdc035ce24e,c59f580bd1844c1f634ce410bda0a6ea,79ebd9a61bac3eaf882805ed4ecfa12a,moveis decoracao,furniture decor,42.0,1405.0,3.0,150.0,35.0,2.0,25.0,14.9,25.63,credit card,40.53,2,5.0,2018-03-02 23:51:51,2018-03-28 21:22:43
03e5d6a8dd520898f86f8429ccd07c21,2efbce46d36d9af306d4300db163b276,b494891378bd8f4560abe576c52deacd,beleza saude,health beauty,48.0,762.0,1.0,270.0,16.0,16.0,15.0,119.9,15.94,voucher,46.8,1,3.0,2018-07-30 11:51:13,
08f5487befe25744feabb3203a4dc09b,a8115d34a4b7b74388da609692162c37,85d9eb9ddc5d00ca9336a2219c97bb13,informatica acessorios,computers accessories,34.0,1080.0,2.0,250.0,41.0,2.0,29.0,31.9,16.79,boleto,48.69,1,1.0,2018-02-27 18:26:39,2018-04-04 18:08:56
23bd3ea8478099ea89638b5514a1198b,7b85e3deef35afd6ebed5461ee8f0641,ede0c03645598cdfc63ca8237acbe73d,informatica acessorios,computers accessories,56.0,617.0,1.0,1583.0,18.0,15.0,12.0,30.21,11.85,credit card,42.06,1,3.0,2018-03-03 00:42:02,2018-03-23 00:58:45
14a05c02d483800864e5c19a3a7f0ee2,8934769521d632e65c27992662f05673,cb8bcce248bb1fb274ba762d8b971456,cool stuff,cool stuff,26.0,1105.0,3.0,200.0,17.0,4.0,13.0,109.9,14.32,debit card,124.22,1,2.0,2018-08-18 06:29:22,
157ca6af9e09fbc0742ec25ceb3f0f67,173e9fe34bfe97f3a5e6dc57fe897b74,ba143b05f0110f0dc71ad71b4466ce92,livros tecnicos,books technical,36.0,890.0,1.0,950.0,29.0,3.0,21.0,57.89,22.99,boleto,80.88,1,5.0,2018-05-07 18:42:24,2018-05-17 19:04:09
2f70d6fc23a1899fd564c990dfcf51fc,62224b433a431310bf27129938ad9f64,7b07b3c7487f0ea825fc6df75abd658b,esporte lazer,sports leisure,28.0,733.0,6.0,700.0,49.0,12.0,27.0,84.94,9.41,boleto,94.35,1,4.0,2017-09-04 14:01:22,2017-09-11 14:57:26
0cae0419c5938004fa8b8dba302552d1,c6336fa91fbd87c359e44f5dca5a90ed,4c2b230173bb36f9b240f2b8ac11786e,esporte lazer,sports leisure,39.0,772.0,1.0,150.0,16.0,16.0,11.0,39.9,21.15,boleto,61.05,1,5.0,2017-07-03 16:43:26,2017-07-21 19:49:35
1facabb49e0b903e2d7ff337eddbeda5,2cbd0f06c3123f0bd14c4bffc0498996,2138ccb85b11a4ec1e37afbd1c8eda1f,telefonia,telephony,52.0,728.0,1.0,75.0,19.0,5.0,11.0,39.99,14.52,credit card,54.51,1,5.0,2017-04-20 09:41:37,2017-04-26 13:28:39
28ec57c2ba11d394a43df3a4846055b6,31a2f42a87890f87d77daebdfabc182e,4c03b9dd4c11ee2cb35c96c49efc9420,brinquedos,toys,58.0,419.0,5.0,1700.0,30.0,35.0,25.0,149.0,18.29,credit card,167.29,7,3.0,2017-07-05 21:30:56,2017-07-17 20:44:06
0dc2734aeb43fcd6b5c4a6d6296f50c5,33202a8e7a645388c41ed714203d7131,8d79c8a04e42d722a75097ce5cbcf2ef,alimentos,food,45.0,911.0,1.0,3350.0,20.0,21.0,20.0,149.9,27.48,boleto,177.38,1,5.0,2017-03-02 09:21:19,2017-03-29 10:58:07
0de5dbc9f3226761687d84b54057efba,d2f2c2b94c6ac44ece0bd0dd202c7939,710e3548e02bc1d2831dfc4f1b5b14d4,moveis decoracao,furniture decor,54.0,241.0,4.0,1050.0,32.0,12.0,32.0,35.99,37.9,credit card,73.89,1,4.0,2017-08-09 21:09:22,2017-08-28 16:57:42
13fc19d5bc2bd52fce8baeb3f31e5dd6,81a7ce9e5b3c92b523c22a4d3d3e05f4,1b45169b635ef59425637e9a33eb5fb3,utilidades domesticas,housewares,60.0,213.0,1.0,450.0,16.0,30.0,11.0,44.0,13.65,credit card,57.65,2,5.0,2018-07-19 16:50:34,2018-07-27 13:21:34
078c9d6d720f254fc10c5a162169197f,c33d78b97260227119fb2b71be168fca,a3e9a2c700480d9bb01fba070ba80a0e,cama mesa banho,bed bath table,39.0,170.0,1.0,650.0,27.0,10.0,22.0,89.9,13.99,credit card,103.89,3,4.0,2018-05-29 20:59:27,2018-06-07 12:38:28
1bfde5e32fa7b177c2c0f313c67ee333,17da5d80ea0eeabd565083183027d588,e9779976487b77c6d4ac45f75ec7afe9,bebidas,drinks,59.0,879.0,1.0,700.0,20.0,20.0,20.0,65.0,16.21,credit card,81.21,1,5.0,2017-10-30 08:15:05,2017-11-13 20:52:40
2b4b44b2668666eb59404ad3212d4826,a8d952e8e5436a6fe36d24c402d100de,ea8482cd71df3c1969d7b9473ff13abc,telefonia,telephony,60.0,540.0,6.0,300.0,17.0,4.0,11.0,21.99,14.1,credit card,36.09,3,5.0,2017-11-17 13:14:15,2017-11-29 22:04:56
03e5d6a8dd520898f86f8429ccd07c21,2efbce46d36d9af306d4300db163b276,b494891378bd8f4560abe576c52deacd,beleza saude,health beauty,48.0,762.0,1.0,270.0,16.0,16.0,15.0,119.9,15.94,voucher,46.8,1,3.0,2018-07-30 11:51:13,
140d9953eb16589e277967bbfcdf7ac5,bdf5efab9b8b85e6a49603007646f763,5f3ae9136c875522250f8184f253413a,livros tecnicos,books technical,25.0,2021.0,1.0,213.0,21.0,2.0,14.0,14.95,7.39,credit card,22.34,1,3.0,2018-08-21 12:35:25,2018-08-27 18:02:19
0d898acc80d3c7a150bd832ac4050c81,c6336fa91fbd87c359e44f5dca5a90ed,4c2b230173bb36f9b240f2b8ac11786e,esporte lazer,sports leisure,39.0,772.0,1.0,150.0,16.0,16.0,11.0,49.9,15.45,boleto,65.35,1,5.0,2018-08-15 09:08:34,2018-08-27 15:22:18
150f52d53dc64bc95bac1d22d50fdcb5,173e9fe34bfe97f3a5e6dc57fe897b74,ba143b05f0110f0dc71ad71b4466ce92,livros tecnicos,books technical,36.0,890.0,1.0,950.0,29.0,3.0,21.0,57.89,10.29,credit card,68.18,2,4.0,2018-05-20 20:48:30,2018-06-06 15:12:35
1cf0fc2c07de89a211f8dcf9ff5af15b,701ff123e9085dcc9c2f833efded6374,ff1fb4c404b2efe68b03350a8dc24122,cool stuff,cool stuff,50.0,268.0,5.0,10664.0,61.0,63.0,35.0,395.0,20.94,credit card,415.94,3,3.0,2018-08-07 21:53:39,2018-08-18 18:21:11
05d6faf8d3942006edf7cbc669faa965,37d2e3656244fd840ebd0460360455cd,dbc22125167c298ef99da25668e1011f,papelaria,stationery,36.0,215.0,1.0,700.0,45.0,10.0,31.0,40.9,17.92,credit card,58.82,1,3.0,2017-09-10 18:16:43,2017-09-18 16:48:26
044406a115a855072a8e79d38f028a80,bbaef2eadf31fe3ea6702077398be06c,cc419e0650a3c5ba77189a1882b7556a,perfumaria,perfumery,45.0,1003.0,2.0,400.0,18.0,11.0,11.0,56.99,14.15,boleto,71.14,1,1.0,2017-08-01 11:04:50,2017-08-10 17:34:49
03e5d6a8dd520898f86f8429ccd07c21,2efbce46d36d9af306d4300db163b276,b494891378bd8f4560abe576c52deacd,beleza saude,health beauty,48.0,762.0,1.0,270.0,16.0,16.0,15.0,119.9,15.94,voucher,42.24,1,3.0,2018-07-30 11:51:13,
